|         in         |  sel  |         a          |         b          |         c          |         d          |         e          |         f          |         g          |         h          |
|  0111100001111000  |  100  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0111100001111000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |
|  0111100001111000  |  101  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0111100001111000  |  0000000000000000  |  0000000000000000  |
|  0111100001111000  |  110  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0111100001111000  |  0000000000000000  |
|  0111100001111000  |  111  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0111100001111000  |
|  1111111100000000  |  000  |  1111111100000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |
|  1111111100000000  |  001  |  0000000000000000  |  1111111100000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |
|  1111111100000000  |  010  |  0000000000000000  |  0000000000000000  |  1111111100000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |
|  1111111100000000  |  011  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  1111111100000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |
|  1111111100000000  |  100  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  1111111100000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |
|  1111111100000000  |  101  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  1111111100000000  |  0000000000000000  |  0000000000000000  |
|  1111111100000000  |  110  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  1111111100000000  |  0000000000000000  |
|  1111111100000000  |  111  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  1111111100000000  |
